Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
[HTML][HTML] Deep learning applications and challenges in big data analytics,"MM Najafabadi, F Villanustre… - … of big data, 2015 - journalofbigdata.springeropen.com","… of unsupervised data, making it a valuable tool for Big Data Analytics where raw data is 
largely … in Big Data Analytics, including extracting complex patterns from massive volumes of …",https://journalofbigdata.springeropen.com/articles/10.1186/s40537-014-0007-7,2199,12,"https://scholar.google.com/scholar?q=related:Rv6eEvQJBiQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] Big data analytics in healthcare: promise and potential,"W Raghupathi, V Raghupathi - Health information science and systems, 2014 - Springer","… of big data analytics in healthcare. Third, the big data analytics application development 
methodology is described. Fourth, we provide examples of big data analytics in healthcare …",https://link.springer.com/article/10.1186/2047-2501-2-3,3265,20,"https://scholar.google.com/scholar?q=related:oFv2i_L3LDAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2","E Bolyen, JR Rideout, MR Dillon, NA Bokulich… - Nature …, 2019 - nature.com","… these data types to the ecosystem shortly. Additionally, many of the existing ‘downstream’ 
analysis tools, such as q2-sample-classifier 16 , can already work with these data … data science …",https://www.nature.com/articles/s41587-019%200209-9,8843,34,"https://scholar.google.com/scholar?q=related:V53Te778QGAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Trends in big data analytics,"K Kambatla, G Kollias, V Kumar, A Grama - Journal of parallel and …, 2014 - Elsevier","… of data analytics problems. We describe commonly used hardware platforms for executing 
analytics … We conclude with a brief discussion of the diverse applications of data analytics, …",https://www.sciencedirect.com/science/article/pii/S0743731514000057,1068,6,"https://scholar.google.com/scholar?q=related:J7gAMI33LzoJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The quantified self: Fundamental disruption in big data science and biological discovery,"M Swan - Big data, 2013 - liebertpub.com","… A key contemporary trend emerging in big data science is … big data scientists to develop 
new models to support QS data … and privacy standards for how personal data is used. Next-…",https://www.liebertpub.com/doi/abs/10.1089/big.2012.0002,1212,11,"https://scholar.google.com/scholar?q=related:lem-GFIfsS8J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[HTML][HTML] Big data, analytics and the path from insights to value","S LaValle, E Lesser, R Shockley… - MIT sloan …, 2010 - sloanreview.mit.edu","… How does data inform business processes, offerings, and engagement with customers? 
This research looks at trends in the use of analytics, the evolution of analytics strategy …",https://sloanreview.mit.edu/article/big-data-analytics-and-the-path-from-insights-to-value/,2446,4,"https://scholar.google.com/scholar?q=related:Xxqs1u8haPcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] An introduction to social network data analytics,CC Aggarwal - 2011 - Springer,"… methods for incorporating sensor data as an integral part of social network data analytics. … 
The problem of social network data analytics is still in its infancy; there is a tremendous amount …",https://link.springer.com/chapter/10.1007/978-1-4419-8462-3_1,1115,13,"https://scholar.google.com/scholar?q=related:7qDRAyA--vUJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] Big data analytics,"P Russom - TDWI best practices report, fourth quarter, 2011 - vivomente.com","… This report drills into all the aspects of big data analytics mentioned here to give users 
and their business sponsors a solid background for big data analytics, including business …",https://vivomente.com/wp-content/uploads/2016/04/big-data-analytics-white-paper.pdf,1936,8,"https://scholar.google.com/scholar?q=related:l_nVpZzY9bEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Toward scalable systems for big data analytics: A technology tutorial,"H Hu, Y Wen, TS Chua, X Li - IEEE access, 2014 - ieeexplore.ieee.org","… data acquisition, transmission, storage, and large-scale data processing mechanisms. In this 
paper, we present a literature survey and system tutorial for big data analytics … own big-data …",https://ieeexplore.ieee.org/abstract/document/6842585/,1427,4,"https://scholar.google.com/scholar?q=related:ZjLPGT2MmpsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data analytics: Understanding its capabilities and potential benefits for healthcare organizations,"Y Wang, LA Kung, TA Byrd - Technological forecasting and social change, 2018 - Elsevier","… We identify five big data analytics capabilities from 26 big data cases. … big data analytics 
technologies. Our findings will help healthcare organizations understand the big data analytics …",https://www.sciencedirect.com/science/article/pii/S0040162516000500,1354,6,"https://scholar.google.com/scholar?q=related:pRGZEDV7-XYJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
