"class","isPartOf","dbpedia_loc","foaf_homepage","owl#start","owl#end","submissionDeadlineDate","pageCount","paperFamilyCount","citationCount","entity_id","notificationDueDate","finalVersionDueDate","abstractRegistrationDate"
"ConferenceInstance","1185773761","Snowbird,_Utah","http://www.cs.brandeis.edu/~dcc","2008-03-25","2008-03-27","2007-11-12","103","103","687","26101","NULL","NULL","NULL"
"ConferenceInstance","1123338449","Huế","http://aciids2010.hueuni.edu.vn","2010-03-24","2010-03-26","2009-09-20","99","99","561","73364","2009-11-05","NULL","NULL"
"ConferenceInstance","1191753779","Shanghai","http://www.ipdps.org/","2012-05-21","2012-05-25","2011-10-01","460","460","4745","131414","2011-12-19","2012-02-01","2011-09-24"
"ConferenceInstance","1172021174","Shanghai","http://www.isibm.org/IJCBS/index.html","2009-08-03","2009-08-06","2009-02-15","115","115","416","189135","2009-03-15","2009-04-05","NULL"
"ConferenceInstance","1150638746","Potsdam","http://icsob.org","2013-06-11","2013-06-14","2013-01-20","28","28","170","202977","2013-03-04","2013-03-24","NULL"
"ConferenceInstance","1166511975","Antwerp","http://soft.vub.ac.be/ase2010/","2010-09-20","2010-09-24","2010-03-15","114","114","2998","205711","2010-06-07","2010-07-08","2010-03-08"
"ConferenceInstance","1124055115","Indianapolis","http://www.eit-conference.org/eit2012/index.asp","2012-05-06","2012-05-08","2012-01-30","83","83","425","247542","2012-02-27","2012-03-26","NULL"
"ConferenceInstance","1194409624","Kaohsiung","http://asonam.im.nuk.edu.tw/","2011-07-25","2011-07-27","2011-03-15","115","115","1625","255216","2011-04-08","NULL","NULL"
"ConferenceInstance","1140059087","Seoul","http://graphics.ewha.ac.kr/PG14/","2014-10-08","2014-10-10","2014-05-30","2","2","0","300542","2014-07-17","NULL","2014-05-23"
"ConferenceInstance","1156138999","India","http://ihci2012.iitkgp.ac.in/","2012-12-27","2012-12-29","2012-09-01","96","96","462","346208","2012-10-30","2012-11-15","NULL"
"ConferenceInstance","2760787418","Medellín","http://lanc2012.ufpa.br/","2012-10-04","2012-10-05","2012-06-11","9","9","39","452013","2012-08-06","2012-08-27","NULL"
"ConferenceInstance","1190607000","NULL","http://www.simultech.org","2013-07-29","2013-07-31","2013-04-10","44","44","59","460616","NULL","2013-04-22","NULL"
"ConferenceInstance","1160896163","St._John's,_Newfoundland_and_Labrador","http://www.computerrobotvision.org/","2011-05-25","2011-05-27","2011-01-28","50","50","300","468573","NULL","NULL","NULL"
"ConferenceInstance","2755847365","Paphos","http://www.cs.ucy.ac.cy/SCALCOM2011","2011-08-31","2011-09-02","2011-04-15","0","0","0","494980","2011-05-15","2011-05-31","NULL"
"ConferenceInstance","1152238068","Tallinn","http://bpm2012.ut.ee/","2012-09-03","2012-09-06","2012-03-18","158","158","2506","527463","2012-05-18","2012-06-17","2012-03-11"
"ConferenceInstance","1177184315","Uppsala","http://ecoop14.it.uu.se/calls/artifacts.php","2014-07-28","2014-08-01","2013-12-11","31","31","434","549993","2014-03-07","2014-04-12","NULL"
"ConferenceInstance","1183877910","Graz","http://cardis.iaik.tugraz.at/cardis2012/","2012-11-28","2012-11-30","2012-08-29","19","19","237","551274","2012-10-17","2012-11-12","NULL"
"ConferenceInstance","2760020135","Paris","http://iciq2012.cnam.fr/","2012-11-15","2012-11-17","2012-07-01","4","4","9","578223","2012-08-08","2012-09-06","NULL"
"ConferenceInstance","1157264799","Adelaide","http://www.cs.auckland.ac.nz/~burkhard/AUIC2013/","2013-01-29","2013-02-01","2012-08-13","18","18","63","619777","2012-10-08","2012-10-29","NULL"
"ConferenceInstance","1177006722","Girona","http://www.mdai.cat/mdai2012/","2012-11-21","2012-11-23","2012-05-25","36","36","125","632274","2012-07-10","2012-07-31","NULL"
"ConferenceInstance","1166878115","Florence","http://www.defeasible.org/deon2010","2010-07-07","2010-07-09","2010-02-27","23","23","140","654297","NULL","NULL","NULL"
"ConferenceInstance","1122418201","Lille","http://www.iuma.ulpgc.es/dsd10/","2010-09-01","2010-09-03","2010-03-15","112","112","773","655894","2010-04-26","2010-05-31","NULL"
"ConferenceInstance","2623019038","Chiang_Mai","http://itpe.siit.tu.ac.th/kicss2010","2010-11-25","2010-11-27","2010-08-09","25","25","78","670046","2010-09-20","2010-10-11","NULL"
"ConferenceInstance","1187160151","Boston","http://2012.dsn.org/","2012-06-15","2012-06-18","2011-12-07","96","96","1825","670188","2012-02-29","NULL","2011-11-30"
"ConferenceInstance","1192655580","Seattle","http://hum.csse.unimelb.edu.au/emnlp2013/","2013-10-18","2013-10-21","2013-07-05","223","223","10272","679852","2013-08-26","NULL","NULL"
"ConferenceInstance","1191753779","Boston","http://www.ipdps.org/","2013-05-20","2013-05-24","2012-10-01","119","119","2795","684073","2012-12-23","2013-02-01","2012-09-24"
"ConferenceInstance","1154737535","Washington,_D.C.","http://asap-conference.org","2013-06-05","2013-06-07","2013-02-15","69","69","373","762153","2013-03-15","2013-04-05","2013-02-08"
"ConferenceInstance","1158363782","Lombard,_Illinois","https://www.usenix.org/conference/nsdi13/call-for-papers","2013-04-03","2013-04-05","2012-09-19","44","44","5297","778444","NULL","NULL","2012-09-12"
"ConferenceInstance","1135342153","Beijing","http://www2008.org/CFP/index.html","2008-04-21","2008-04-25","2007-11-01","262","262","17746","786404","2008-01-15","NULL","NULL"
"ConferenceInstance","1189575698","Marrakesh","http://www.u-bourgogne.fr/SITIS","2009-11-29","2009-12-03","2009-06-30","108","108","407","796008","2009-08-15","2009-09-01","NULL"
"ConferenceInstance","1126463254","Santa_Clara,_California","http://www.hoti.org/","2012-08-22","2012-08-24","2012-05-13","10","10","160","874771","2012-06-16","NULL","NULL"
"ConferenceInstance","1127267470","Guadeloupe","http://www.iaria.org/conferences2011/eTELEMED11.html","2011-02-23","2011-02-28","2010-10-15","19","19","78","934770","NULL","NULL","NULL"
