string,sectionName,label,citingPaperId,citedPaperId,excerpt_index,isKeyCitation,label2,citeEnd,citeStart,source,label_confidence,label2_confidence,id
"However, how frataxin interacts with the Fe-S cluster biosynthesis components remains unclear as direct one-to-one interactions with each component were reported (IscS [12,22], IscU/Isu1 [6,11,16] or ISD11/Isd11 [14,15]).",Introduction,1,1872080baa7d30ec8fb87be9a65358cd3a7fb649,894be9b4ea46a5c422e81ef3c241072d4c73fdc0,11,True,3,175,168,4,1.0,0.0,1872080baa7d30ec8fb87be9a65358cd3a7fb649>894be9b4ea46a5c422e81ef3c241072d4c73fdc0
"In the study by Hickey et al. (2012), spikes were sampled from the field at the point of physiological
robinson et al.: genomic regions influencing root traits in barley 11 of 13
maturity, dried, grain threshed by hand, and stored at −20C to preserve grain dormancy before germination testing.",Novel Quantitative Trait Loci for Seminal Root Traits in Barley,1,ce1d09a4a3a8d7fd3405b9328f65f00c952cf64b,b6642e19efb8db5623b3cc4eef1c5822a6151107,2,True,3,36,16,4,1.0,0.0,ce1d09a4a3a8d7fd3405b9328f65f00c952cf64b>b6642e19efb8db5623b3cc4eef1c5822a6151107
"The drug also reduces catecholamine secretion, thereby reducing stress and leading to a modest (10-20%) reduction in heart rate and blood pressure, which may be particularly beneficial in patients with cardiovascular disease.(7) Unlike midazolam, dexmedetomidine does not affect the ventilatory response to carbon dioxide.",Introduction,1,9cdf605beb1aa1078f235c4332b3024daa8b31dc,4e6a17fb8d7a3cada601d942e22eb5da6d01adbd,0,False,3,228,225,4,1.0,0.0,9cdf605beb1aa1078f235c4332b3024daa8b31dc>4e6a17fb8d7a3cada601d942e22eb5da6d01adbd
"By clustering with lowly aggressive close kin (King 1989a,b; Viblanc et al. 2010; Arnaud, Dobson & Murie 2012), breeding females may decrease the time/energy cost of maintaining territorial boundaries (Festa-Bianchet & Boag 1982; Murie & Harris 1988), which could ultimately lead to increases in net energy income (TA) or higher allocations in somatic or reproductive functions.",Discussion,1,d9f3207db0c79a3b154f3875c9760cc6b056904b,2cc6ff899bf17666ad35893524a4d61624555ed7,3,False,3,110,46,4,1.0,0.0,d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7
"Ophthalmic symptoms are rare manifestations of the intracranial arachnoid cyst, and include unilateral exophthalmos, visual field abnormality, decreased visual acuity and isolated palsies of the third, fourth and sixth cranial nerves [1–5].",Discussion,1,88b86556857f4374842d2af2e359576806239175,a5bb0ff1a026944d2a47a155462959af2b8505a8,2,False,3,239,234,4,1.0,0.0,88b86556857f4374842d2af2e359576806239175>a5bb0ff1a026944d2a47a155462959af2b8505a8
Recent studies identified Wee1 as a potential molecular target in cancer cells and the selective small molecule Wee1-inhibitor MK-1775 demonstrated promising results in cancer cells with enhanced levels of Wee1 (96-98).,Discussion,1,df2f5d253798a83b31b1df8d4a343bdcdfeb492b,d91f4ce0487619e1ff3f30facd959e2530bde365,1,True,3,218,211,4,0.7286,0.0,df2f5d253798a83b31b1df8d4a343bdcdfeb492b>d91f4ce0487619e1ff3f30facd959e2530bde365
"These problems combine to make early diagnosis essential and immediate treatment a necessity, even for the youngest patients [17, 18].",3. Discussion,1,68746a4e82e33029804f135bd35a2bc42c68df26,4fb0ebdfe25b15c4bc42d81b1338cfdb9f2469be,0,False,3,133,125,4,0.7537,0.0,68746a4e82e33029804f135bd35a2bc42c68df26>4fb0ebdfe25b15c4bc42d81b1338cfdb9f2469be
"Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (Şen 2011).",Discussion,1,5997ebb2ded3b4519db864d65a04fba82266e034,e7b139d78c756155ac0937e8020d6004b60c6f9d,0,False,3,160,152,4,1.0,0.0,5997ebb2ded3b4519db864d65a04fba82266e034>e7b139d78c756155ac0937e8020d6004b60c6f9d
"Recently, the light-induced method, which is based on the changes of surface wettability of certain materials [12], has been developed and provides amore convenient approach for cell harvesting [13].",1. Introduction,0,91984c897f134f875ba9ffdac986a108b930be28,3bb5bde8426dd630c536d04c1ad108bf6e966450,3,True,3,198,194,4,0.7435,0.0,91984c897f134f875ba9ffdac986a108b930be28>3bb5bde8426dd630c536d04c1ad108bf6e966450
"Currently, with advances in radiotherapeutic, chemotherapeutic, and surgical techniques, limb-salvage surgery has become an accepted treatment [2–9].",Introduction,1,5550c4a3b899f2a493d77cdfff7d5121e6c15ba4,3d58af42e260a67f91f3d38f49eb2a80750817d2,1,True,3,148,143,4,0.7408,0.0,5550c4a3b899f2a493d77cdfff7d5121e6c15ba4>3d58af42e260a67f91f3d38f49eb2a80750817d2
